mode;name;DC;SC;FC1;FC2;LIC;CC;ODC;C2CF;C2MF;Zero;OCC;EC;RC;DC;IPC;FC
Mode 1;DP-CC1;0;0.75;0;0.5;0.99;0.547787188;0.461928934;0.674485634;0;0;0.586946797;0;0;0.55;0.66;0.5
Mode 1;DP-CC2;0;0.75;0;0.5;0.99;0.547787188;0.461928934;0.674485634;0;0;0.586946797;0;0;0.55;0.66;0.5
Mode 1;DP-CC3;0;0.75;0;0.5;0.99;0.547787188;0.461928934;0.674485634;0;0;0.57778013;0;0;0.513333333;0.55;0.5
Mode 1;GPS2;0.99;0.25;0;0.25;0.99;0.053217011;0.078680203;0;0.113495325;0;0.303304253;0;0;0.66;0;0.25
Mode 1;GPS2_NS;0.99;0.25;0;0.25;0.99;0.319687569;0.30964467;0;0.505341606;0;0.369921892;0;0;0.66;0;0.25
Mode 1;MA-OS1;0;0.666666667;0;0.733333333;0.99;0.306069023;0.078680203;0.381946913;0.402013776;0;0.544850589;0;0;0.473333333;0.43;0.733333333
Mode 1;MA-OS2;0;0.666666667;0;0.733333333;0.99;0.059118484;0.078680203;0.2253073;0.121391667;0;0.483112954;0;0;0.473333333;0.43;0.733333333
Mode 1;MA-OS3;0;0.666666667;0;0.733333333;0.99;0;0;0.126860247;0;0;0.468333333;0;0;0.473333333;0.43;0.733333333
Mode 1;MA-SW-A1;0;0;0;0;0;0.846585991;0.847715736;0.937435666;0.621326315;0;0.211646498;0;0;0;0;0
Mode 1;MA-SW-A2;0;0;0;0;0;0.057470736;0.078680203;0.230981391;0.110762511;0;0.014367684;0;0;0;0;0
Mode 1;MA-SW-B1;0;0;0;0;0;1;1;1;1;0;0.25;0;0;0;0;0
Mode 1;MA-TC1;0;0.583333333;0;0.583333333;0;0.457164883;0.30964467;0.574001573;0;0;0.405957888;0;0;0;0;0.583333333
Mode 1;MA-TC2;0;0.583333333;0;0.583333333;0;0.33449657;0.230964467;0.450126434;0;0;0.375290809;0;0;0;0;0.583333333
Mode 1;MA-TC3;0;0.583333333;0;0.516666667;0;0.457164883;0.30964467;0.574001573;0;0;0.389291221;0;0;0;0;0.516666667
Mode 1;MA-TC4;0;0.583333333;0;0.6;0;0.457164883;0.30964467;0.574001573;0;0;0.410124554;0;0;0;0;0.6
Mode 1;TCS-CC1;0;0.5;0;0.6;0.99;0.376111435;0;0.423993168;0.372294776;0;0.534027859;0;0;0.66;0.99;0.6
Mode 1;TCS-CC3;0;0.5;0;0.6;0.99;0.0803353;0;0.188103009;0.050626223;0;0.460083825;0;0;0.66;0.99;0.6
Mode 1;TCS-CC2;0;0.5;0;0.6;0.99;0.097265011;0;0.207400664;0.114983055;0;0.464316253;0;0;0.66;0.99;0.6
Mode 1;VidServ;0.55;0;0;0;0.99;0.531857358;0.230964467;0;0.641802648;0;0.261297673;0;0;0.513333333;0;0
Mode 1;VRAG;0;0;0;0;0;0.349590463;0.078680203;0;0.398144404;0;0.087397616;0;0;0;0;0
Mode 1;Internet Router;0;0;0;0;0;0.116936178;0.078680203;0;0.175903661;0;0.029234044;0;0;0;0;0
Mode 1;4G modem;0;0.25;0;0.266666667;0;0.26402193;0.078680203;0;0.340144682;0;0.195172149;0;0;0;0;0.266666667
Mode 1;C-Link 2;0;0.25;0;0.6;0;0.33121288;0.230964467;0.272014522;0.419192563;0;0.29530322;0;0;0;0;0.6
Mode 1;C-Link 10-90;0;0.25;0;0.516666667;0;0.136063015;0.078680203;0.402442276;0.184793686;0;0.22568242;0;0;0;0;0.516666667
Mode 1;CCTV1;0.55;0.25;0;0.183333333;0;0.041396099;0;0.469586542;0.057634603;0;0.164515691;0;0;0.183333333;0;0.183333333
Mode 1;CCTV2;0.55;0.25;0;0.183333333;0;0.041396099;0;0.294277905;0.057634603;0;0.164515691;0;0;0.183333333;0;0.183333333
