Opmode; comp.;tech_ID;MITRE_ID;tech_name;tactic;platforms;CVSS_Exp;Impact;Detectability;Risk;Rating;Mitigations
Mode 1;DP-CC1;IT-Tech-1;T1557.002;ARP Cache Poisoning;credential-access; ['Linux', 'Windows', 'macOS'];2,83525473;0,9092698666840178;0,19999999999999996;0,515602338072466;Low;['Disable or Remove Feature or Program', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training', 'Limit Access to Resource Over Network', 'Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-2;T1557.002;ARP Cache Poisoning;collection; ['Linux', 'Windows', 'macOS'];2,83525473;0,40384257618401775;0,19999999999999996;0,2289993148602243;Low;['Disable or Remove Feature or Program', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training', 'Limit Access to Resource Over Network', 'Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-3;T1547.012;Print Processors;persistence; ['Windows'];0,798928515;0,5131397692083901;1;0,4099619938011018;Low;['User Account Management'];
Mode 1;DP-CC1;IT-Tech-4;T1547.012;Print Processors;privilege-escalation; ['Windows'];0,798928515;3,484824300049639;1;2,784125503074572;Low;['User Account Management'];
Mode 1;DP-CC1;IT-Tech-5;T1564.007;VBA Stomping;defense-evasion; ['Linux', 'Windows', 'macOS'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Disable or Remove Feature or Program'];
Mode 1;DP-CC1;IT-Tech-6;T1558.004;AS-REP Roasting;credential-access; ['Windows'];1,83457659;0,9092698666840178;0,30000000000000004;0,500437563423276;Low;['Audit', 'Password Policies', 'Encrypt Sensitive Information'];
Mode 1;DP-CC1;IT-Tech-7;T1218.012;Verclsid;defense-evasion; ['Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Disable or Remove Feature or Program', 'Filter Network Traffic', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-8;T1205.001;Port Knocking;defense-evasion; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;1,886581246549639;1;5,34893840280916;Low;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-9;T1205.001;Port Knocking;persistence; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;0,5131397692083901;1;1,4548819577991963;Low;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-10;T1205.001;Port Knocking;command-and-control; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-11;T1564.006;Run Virtual Instance;defense-evasion; ['Linux', 'macOS', 'Windows'];2,83525473;1,886581246549639;1;5,34893840280916;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-12;T1564.005;Hidden File System;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;[];
Mode 1;DP-CC1;IT-Tech-13;T1574.012;COR_PROFILER;persistence; ['Windows'];1,83457659;0,5131397692083901;1;0,9413942079877153;Low;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-14;T1574.012;COR_PROFILER;privilege-escalation; ['Windows'];1,83457659;3,484824300049639;1;6,393177081134204;Medium;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-15;T1574.012;COR_PROFILER;defense-evasion; ['Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-16;T1480.001;Environmental Keying;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Do Not Mitigate'];
Mode 1;DP-CC1;IT-Tech-17;T1059.007;JavaScript;execution; ['Windows', 'macOS', 'Linux'];1,338161748;2,971684530841249;1;3,976594566295086;Low;['Disable or Remove Feature or Program', 'Restrict Web-Based Content', 'Behavior Prevention on Endpoint', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-18;T1127.001;MSBuild;defense-evasion; ['Windows'];2,515145325;1,886581246549639;1;4,745026002491997;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-19;T1027.005;Indicator Removal from Tools;defense-evasion; ['Linux', 'macOS', 'Windows'];2,515145325;1,886581246549639;1;4,745026002491997;Low;[];
Mode 1;DP-CC1;IT-Tech-20;T1562.006;Indicator Blocking;defense-evasion; ['Windows', 'macOS', 'Linux'];2,515145325;1,886581246549639;1;4,745026002491997;Low;['Software Configuration', 'User Account Management', 'Restrict File and Directory Permissions'];
Mode 1;DP-CC1;IT-Tech-21;T1573.002;Asymmetric Cryptography;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention', 'SSL/TLS Inspection'];
Mode 1;DP-CC1;IT-Tech-22;T1573.001;Symmetric Cryptography;command-and-control; ['Linux', 'Windows', 'macOS'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-23;T1573;Encrypted Channel;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention', 'SSL/TLS Inspection'];
Mode 1;DP-CC1;IT-Tech-24;T1027.004;Compile After Delivery;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;[];
Mode 1;DP-CC1;IT-Tech-25;T1546.015;Component Object Model Hijacking;privilege-escalation; ['Windows'];1,83457659;3,484824300049639;1;6,393177081134204;Medium;[];
Mode 1;DP-CC1;IT-Tech-26;T1546.015;Component Object Model Hijacking;persistence; ['Windows'];1,83457659;0,5131397692083901;1;0,9413942079877153;Low;[];
Mode 1;DP-CC1;IT-Tech-27;T1071.004;DNS;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;0,19999999999999996;2,6241636506358423;Low;['Network Intrusion Prevention', 'Filter Network Traffic', 'Pre-compromise'];
Mode 1;DP-CC1;IT-Tech-28;T1071.003;Mail Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-29;T1071.002;File Transfer Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-30;T1071.001;Web Protocols;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-31;T1572;Protocol Tunneling;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention', 'Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-32;T1048.003;Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;2,8700998165252667;0,19999999999999996;2,231240151070672;Low;['Network Intrusion Prevention', 'Filter Network Traffic', 'Data Loss Prevention', 'Network Segmentation'];
Mode 1;DP-CC1;IT-Tech-33;T1048.002;Exfiltration Over Asymmetric Encrypted Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;2,8700998165252667;0,19999999999999996;2,231240151070672;Low;['Network Intrusion Prevention', 'Filter Network Traffic', 'Data Loss Prevention', 'Network Segmentation'];
Mode 1;DP-CC1;IT-Tech-34;T1048.001;Exfiltration Over Symmetric Encrypted Non-C2 Protocol;exfiltration; ['Linux', 'macOS', 'Windows'];3,887042775;2,8700998165252667;0,19999999999999996;2,231240151070672;Low;['Network Intrusion Prevention', 'Filter Network Traffic', 'Network Segmentation'];
Mode 1;DP-CC1;IT-Tech-35;T1001.003;Protocol Impersonation;command-and-control; ['Linux', 'Windows', 'macOS'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-36;T1001.002;Steganography;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-37;T1001.001;Junk Data;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-38;T1132.002;Non-Standard Encoding;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-39;T1132.001;Standard Encoding;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-40;T1090.004;Domain Fronting;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['SSL/TLS Inspection', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-41;T1090.003;Multi-hop Proxy;command-and-control; ['Linux', 'macOS', 'Windows', 'Network'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-42;T1090.002;External Proxy;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-43;T1090.001;Internal Proxy;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;1;13,120818253179214;High;['Network Intrusion Prevention'];
Mode 1;DP-CC1;IT-Tech-44;T1102.003;One-Way Communication;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Network Intrusion Prevention', 'Restrict Web-Based Content'];
Mode 1;DP-CC1;IT-Tech-45;T1102.002;Bidirectional Communication;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Network Intrusion Prevention', 'Restrict Web-Based Content'];
Mode 1;DP-CC1;IT-Tech-46;T1102.001;Dead Drop Resolver;command-and-control; ['Linux', 'macOS', 'Windows'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Network Intrusion Prevention', 'Restrict Web-Based Content'];
Mode 1;DP-CC1;IT-Tech-47;T1571;Non-Standard Port;command-and-control; ['Linux', 'macOS', 'Windows'];3,887042775;3,375527107025267;0,19999999999999996;2,6241636506358423;Low;['Network Intrusion Prevention', 'Network Segmentation'];
Mode 1;DP-CC1;IT-Tech-48;T1074.002;Remote Data Staging;collection; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure'];3,887042775;0,40384257618401775;1;1,5697533679934732;Low;[];
Mode 1;DP-CC1;IT-Tech-49;T1074.001;Local Data Staging;collection; ['Linux', 'macOS', 'Windows'];2,515145325;0,40384257618401775;1;1,0157227675251888;Low;[];
Mode 1;DP-CC1;IT-Tech-50;T1564.004;NTFS File Attributes;defense-evasion; ['Windows'];2,515145325;1,886581246549639;1;4,745026002491997;Low;['Restrict File and Directory Permissions'];
Mode 1;DP-CC1;IT-Tech-51;T1564.003;Hidden Window;defense-evasion; ['macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-52;T1078.003;Local Accounts;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;0,30000000000000004;1,0383233370158957;Low;['Password Policies', 'Privileged Account Management'];
Mode 1;DP-CC1;IT-Tech-53;T1078.003;Local Accounts;persistence; ['Linux', 'macOS', 'Windows'];1,83457659;0,5131397692083901;0,30000000000000004;0,2824182623963146;Low;['Password Policies', 'Privileged Account Management'];
Mode 1;DP-CC1;IT-Tech-54;T1078.003;Local Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows'];1,83457659;3,484824300049639;0,30000000000000004;1,9179531243402614;Low;['Password Policies', 'Privileged Account Management'];
Mode 1;DP-CC1;IT-Tech-55;T1078.003;Local Accounts;initial-access; ['Linux', 'macOS', 'Windows'];1,83457659;3,375527107025267;0,30000000000000004;1,857798902837694;Low;['Password Policies', 'Privileged Account Management'];
Mode 1;DP-CC1;IT-Tech-56;T1078.002;Domain Accounts;defense-evasion; ['Linux', 'macOS', 'Windows'];1,04832948;1,886581246549639;0,19999999999999996;0,3955517474346269;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;DP-CC1;IT-Tech-57;T1078.002;Domain Accounts;persistence; ['Linux', 'macOS', 'Windows'];1,04832948;0,5131397692083901;0,19999999999999996;0,1075879094843103;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;DP-CC1;IT-Tech-58;T1078.002;Domain Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows'];1,04832948;3,484824300049639;0,19999999999999996;0,7306488092724803;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;DP-CC1;IT-Tech-59;T1078.002;Domain Accounts;initial-access; ['Linux', 'macOS', 'Windows'];1,04832948;3,375527107025267;0,19999999999999996;0,7077329153667403;Low;['Multi-factor Authentication', 'Privileged Account Management', 'User Training'];
Mode 1;DP-CC1;IT-Tech-60;T1078.001;Default Accounts;defense-evasion; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;1,886581246549639;0,30000000000000004;1,0383233370158957;Low;['Password Policies'];
Mode 1;DP-CC1;IT-Tech-61;T1078.001;Default Accounts;persistence; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;0,5131397692083901;0,30000000000000004;0,2824182623963146;Low;['Password Policies'];
Mode 1;DP-CC1;IT-Tech-62;T1078.001;Default Accounts;privilege-escalation; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;3,484824300049639;0,30000000000000004;1,9179531243402614;Low;['Password Policies'];
Mode 1;DP-CC1;IT-Tech-63;T1078.001;Default Accounts;initial-access; ['Linux', 'macOS', 'Windows', 'AWS', 'GCP', 'Azure', 'Office 365', 'Azure AD', 'SaaS'];1,83457659;3,375527107025267;0,30000000000000004;1,857798902837694;Low;['Password Policies'];
Mode 1;DP-CC1;IT-Tech-64;T1574.002;DLL Side-Loading;persistence; ['Windows'];2,515145325;0,5131397692083901;0,19999999999999996;0,25812421831921223;Low;['Audit', 'Update Software', 'Restrict File and Directory Permissions', 'Application Developer Guidance'];
Mode 1;DP-CC1;IT-Tech-65;T1574.002;DLL Side-Loading;privilege-escalation; ['Windows'];2,515145325;3,484824300049639;0,19999999999999996;1,752967909343249;Low;['Audit', 'Update Software', 'Restrict File and Directory Permissions', 'Application Developer Guidance'];
Mode 1;DP-CC1;IT-Tech-66;T1574.002;DLL Side-Loading;defense-evasion; ['Windows'];2,515145325;1,886581246549639;0,19999999999999996;0,9490052004983992;Low;['Audit', 'Update Software', 'Restrict File and Directory Permissions', 'Application Developer Guidance'];
Mode 1;DP-CC1;IT-Tech-67;T1574.001;DLL Search Order Hijacking;persistence; ['Windows'];2,515145325;0,5131397692083901;0,4;0,5162484366384246;Low;['Audit', 'Restrict Library Loading', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-68;T1574.001;DLL Search Order Hijacking;privilege-escalation; ['Windows'];2,515145325;3,484824300049639;0,4;3,505935818686499;Low;['Audit', 'Restrict Library Loading', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-69;T1574.001;DLL Search Order Hijacking;defense-evasion; ['Windows'];2,515145325;1,886581246549639;0,4;1,8980104009967989;Low;['Audit', 'Restrict Library Loading', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-70;T1574.008;Path Interception by Search Order Hijacking;persistence; ['Windows'];1,83457659;0,5131397692083901;0,4;0,37655768319508615;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-71;T1574.008;Path Interception by Search Order Hijacking;privilege-escalation; ['Windows'];1,83457659;3,484824300049639;0,4;2,557270832453682;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-72;T1574.008;Path Interception by Search Order Hijacking;defense-evasion; ['Windows'];1,83457659;1,886581246549639;0,4;1,3844311160211944;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-73;T1574.007;Path Interception by PATH Environment Variable;persistence; ['Windows'];2,515145325;0,5131397692083901;0,4;0,5162484366384246;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-74;T1574.007;Path Interception by PATH Environment Variable;privilege-escalation; ['Windows'];2,515145325;3,484824300049639;0,4;3,505935818686499;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-75;T1574.007;Path Interception by PATH Environment Variable;defense-evasion; ['Windows'];2,515145325;1,886581246549639;0,4;1,8980104009967989;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-76;T1574.009;Path Interception by Unquoted Path;persistence; ['Windows'];2,515145325;0,5131397692083901;0,4;0,5162484366384246;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-77;T1574.009;Path Interception by Unquoted Path;privilege-escalation; ['Windows'];2,515145325;3,484824300049639;0,4;3,505935818686499;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-78;T1574.009;Path Interception by Unquoted Path;defense-evasion; ['Windows'];2,515145325;1,886581246549639;0,4;1,8980104009967989;Low;['Audit', 'Restrict File and Directory Permissions', 'Execution Prevention'];
