Opmode; comp.;tech_ID;MITRE_ID;tech_name;tactic;platforms;CVSS_Exp;Impact;Detectability;Risk;Rating;Mitigations
Mode 1;DP-CC1;IT-Tech-1;T1557.002;ARP Cache Poisoning;credential-access; ['Linux', 'Windows', 'macOS'];2,83525473;0,9092698666840178;1;2,578011690362331;Low;['Disable or Remove Feature or Program', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training', 'Limit Access to Resource Over Network', 'Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-2;T1557.002;ARP Cache Poisoning;collection; ['Linux', 'Windows', 'macOS'];2,83525473;0,40384257618401775;1;1,1449965743011217;Low;['Disable or Remove Feature or Program', 'Encrypt Sensitive Information', 'Network Intrusion Prevention', 'User Training', 'Limit Access to Resource Over Network', 'Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-3;T1547.012;Print Processors;persistence; ['Windows'];0,798928515;0,5131397692083901;1;0,4099619938011018;Low;['User Account Management'];
Mode 1;DP-CC1;IT-Tech-4;T1547.012;Print Processors;privilege-escalation; ['Windows'];0,798928515;3,484824300049639;1;2,784125503074572;Low;['User Account Management'];
Mode 1;DP-CC1;IT-Tech-5;T1564.007;VBA Stomping;defense-evasion; ['Linux', 'Windows', 'macOS'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Disable or Remove Feature or Program'];
Mode 1;DP-CC1;IT-Tech-6;T1558.004;AS-REP Roasting;credential-access; ['Windows'];1,83457659;0,9092698666840178;1;1,66812521141092;Low;['Audit', 'Password Policies', 'Encrypt Sensitive Information'];
Mode 1;DP-CC1;IT-Tech-7;T1218.012;Verclsid;defense-evasion; ['Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Disable or Remove Feature or Program', 'Filter Network Traffic', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-8;T1205.001;Port Knocking;defense-evasion; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;1,886581246549639;1;5,34893840280916;Low;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-9;T1205.001;Port Knocking;persistence; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;0,5131397692083901;1;1,4548819577991963;Low;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-10;T1205.001;Port Knocking;command-and-control; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;3,375527107025267;1;9,570479196436604;Medium;['Filter Network Traffic'];
Mode 1;DP-CC1;IT-Tech-11;T1564.006;Run Virtual Instance;defense-evasion; ['Linux', 'macOS', 'Windows'];2,83525473;1,886581246549639;1;5,34893840280916;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-12;T1564.005;Hidden File System;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;[];
Mode 1;DP-CC1;IT-Tech-13;T1574.012;COR_PROFILER;persistence; ['Windows'];1,83457659;0,5131397692083901;1;0,9413942079877153;Low;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-14;T1574.012;COR_PROFILER;privilege-escalation; ['Windows'];1,83457659;3,484824300049639;1;6,393177081134204;Medium;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-15;T1574.012;COR_PROFILER;defense-evasion; ['Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['User Account Management', 'Restrict Registry Permissions', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-16;T1480.001;Environmental Keying;defense-evasion; ['Linux', 'macOS', 'Windows'];1,83457659;1,886581246549639;1;3,4610777900529857;Low;['Do Not Mitigate'];
Mode 1;DP-CC1;IT-Tech-17;T1059.007;JavaScript;execution; ['Windows', 'macOS', 'Linux'];1,338161748;2,971684530841249;1;3,976594566295086;Low;['Disable or Remove Feature or Program', 'Restrict Web-Based Content', 'Behavior Prevention on Endpoint', 'Execution Prevention'];
Mode 1;DP-CC1;IT-Tech-18;T1127.001;MSBuild;defense-evasion; ['Windows'];2,515145325;1,886581246549639;1;4,745026002491997;Low;['Disable or Remove Feature or Program', 'Execution Prevention'];
