mode;name;DC;SC;FC1;FC2;LIC;CC;ODC;C2CF;C2MF;Zero;OCC;EC;RC;DC;IPC;FC
Mode 1;Data Historian;0.896666666666667;0;0;0;0;0;0;0;0;0;0.0747222222222222;0;0.25;0.298888888888889;0.55;
Mode 1;SCADA;0.883333333333333;0.5;0;0.583333333333333;0;0.990740082516831;1;0.990740082516831;0.990740082516831;0;0.321296131740319;0;0.75;0.294444444444444;0.55;
Mode 1;Engineer PC;0.753333333333333;0.416666666666667;0;0.5;0;0;0;0;0;0;0.0830555555555556;0;0.25;0.332222222222222;0.243333333333333;
Mode 1;Router/Firewall;0.51;0;0;0.316666666666667;0;0.427476265650977;0.498498498498498;0.427476265650977;0.427476265650977;0;0.121591288634967;0;0.25;0.0588888888888889;0.176666666666667;
Mode 1;Gateway/RTU;0.653333333333333;0;0;0.4;0;0.645852772575027;0.498498498498498;0.645852772575027;0.645852772575027;0;0.23979652647709;0;0.25;0.313333333333333;0.286666666666667;
Mode 1;Switch A;0.586666666666667;0;0;0.4;0;0.56773152354269;0.498498498498498;0.56773152354269;0.56773152354269;0;0.153877325330117;0;0.25;0.0477777777777778;0.143333333333333;
Mode 1;Switch B;0.586666666666667;0;0;0.4;0;0.541743217270165;0.498498498498498;0.541743217270165;0.541743217270165;0;0.147380248761986;0;0.25;0.0477777777777778;0.143333333333333;
Mode 1;HMI;0.753333333333333;0;0;0.416666666666667;0;0.365873411995576;0.249249249249249;0.365873411995576;0.365873411995576;0;0.154246130776672;0;0.25;0.251111111111111;0.486666666666667;
Mode 1;IED 1;0.653333333333333;0;0;0.416666666666667;0;1;1;1;1;0;0.328333333333333;0;0.25;0.313333333333333;0.286666666666667;
Mode 1;IED 2;0.586666666666667;0;0;0.416666666666667;0;1;1;1;1;0;0.273888888888889;0;0.25;0.0955555555555556;0.286666666666667;
Mode 1;MU 1;0.62;0.25;0;0.583333333333333;0;0.0592470516425946;0;0.0592470516425946;0.0592470516425946;0;0.101200651799538;0;0.25;0.0955555555555556;0.286666666666667;
Mode 1;MU 2;0.62;0.25;0;0.583333333333333;0;0.0592470516425946;0;0.0592470516425946;0.0592470516425946;0;0.101200651799538;0;0.25;0.0955555555555556;0.286666666666667;
