Opmode; comp.;tech_ID;MITRE_ID;tech_name;tactic;platforms;CVSS_Exp;Impact;Detectability;Risk;Rating;Mitigations
Mode 1;Data Historian;IT-Tech-1;T1557.002;ARP Cache Poisoning;credential-access; ['Linux', 'Windows', 'macOS'];2,83525473;0,5081111114100002;0,6;0,864374659194456;Low;['Encrypt Sensitive Information', 'Disable or Remove Feature or Program', 'Network Intrusion Prevention', 'Filter Network Traffic', 'User Training', 'Limit Access to Resource Over Network'];
Mode 1;Data Historian;IT-Tech-2;T1557.002;ARP Cache Poisoning;collection; ['Linux', 'Windows', 'macOS'];2,83525473;0,0;0,6;0,0;Low;['Encrypt Sensitive Information', 'Disable or Remove Feature or Program', 'Network Intrusion Prevention', 'Filter Network Traffic', 'User Training', 'Limit Access to Resource Over Network'];
Mode 1;Data Historian;IT-Tech-3;T1547.012;Print Processors;persistence; ['Windows'];0,798928515;0,0747222222222222;0,5;0,02984885701874999;Low;['User Account Management'];
Mode 1;Data Historian;IT-Tech-4;T1547.012;Print Processors;privilege-escalation; ['Windows'];0,798928515;0,0747222222222222;0,5;0,02984885701874999;Low;['User Account Management'];
Mode 1;Data Historian;IT-Tech-5;T1564.007;VBA Stomping;defense-evasion; ['Linux', 'Windows', 'macOS'];1,83457659;0,0;1;0,0;Low;['Disable or Remove Feature or Program'];
Mode 1;Data Historian;IT-Tech-6;T1558.004;AS-REP Roasting;credential-access; ['Windows'];1,83457659;0,5081111114100002;0,5;0,4660843750558341;Low;['Encrypt Sensitive Information', 'Audit', 'Password Policies'];
Mode 1;Data Historian;IT-Tech-7;T1218.012;Verclsid;defense-evasion; ['Windows'];1,83457659;0,0;0,6;0,0;Low;['Disable or Remove Feature or Program', 'Execution Prevention', 'Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-8;T1205.001;Port Knocking;defense-evasion; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;0,0;0,6;0,0;Low;['Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-9;T1205.001;Port Knocking;persistence; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;0,0747222222222222;0,6;0,12711392039499997;Low;['Filter Network Traffic'];
Mode 1;Data Historian;IT-Tech-10;T1205.001;Port Knocking;command-and-control; ['Linux', 'macOS', 'Windows', 'Network'];2,83525473;0,0;0,6;0,0;Low;['Filter Network Traffic'];
